HKSCS-2004 HKSCS-2004 in          HKSCS-2004 in          HKSCS-2004 in
8FB3       E3FF                   E3FF                   22C27
8FB4       87B1                   87B1                    87B1
8FB5       87DA                   87DA                    87DA
8FB6       880F                   880F                    880F
8FB7       5661                   5661                    5661
8FB8       866C                   866C                    866C
8FB9       6856                   6856                    6856
8FBA       E406                   460F                    460F
8FBB       8845                   8845                    8845
8FBC       8846                   8846                    8846
8FBD       E409                   E409                   275E0
8FBE       E40A                   E40A                   23DB9
8FBF       E40B                   E40B                   275E4
8FC0       885E                   885E                    885E
8FC1       889C                   889C                    889C
8FC2       E40E                   465B                    465B
8FC3       88B4                   88B4                    88B4
8FC4       88B5                   88B5                    88B5
8FC5       63C1                   63C1                    63C1
8FC6       88C5                   88C5                    88C5
8FC7       7777                   7777                    7777
8FC8       E414                   E414                   2770F
8FC9       8987                   8987                    8987
8FCA       898A                   898A                    898A
8FCD       89A7                   89A7                    89A7
8FCE       89BC                   89BC                    89BC
8FCF       E41B                   E41B                   28A25
8FD0       89E7                   89E7                    89E7
8FD1       E41D                   E41D                   27924
8FD2       E41E                   E41E                   27ABD
8FD3       8A9C                   8A9C                    8A9C
8FD4       7793                   7793                    7793
8FD5       91FE                   91FE                    91FE
8FD6       8A90                   8A90                    8A90
8FD7       E423                   E423                   27A59
8FD8       7AE9                   7AE9                    7AE9
8FD9       E425                   E425                   27B3A
8FDA       E426                   E426                   23F8F
8FDB       E427                   4713                    4713
8FDC       E428                   E428                   27B38
8FDD       717C                   717C                    717C
8FDE       8B0C                   8B0C                    8B0C
8FDF       8B1F                   8B1F                    8B1F
8FE0       E42C                   E42C                   25430
8FE1       E42D                   E42D                   25565
8FE2       8B3F                   8B3F                    8B3F
8FE3       8B4C                   8B4C                    8B4C
8FE4       8B4D                   8B4D                    8B4D
8FE5       8AA9                   8AA9                    8AA9
8FE6       E432                   E432                   24A7A
8FE7       8B90                   8B90                    8B90
8FE8       8B9B                   8B9B                    8B9B
8FE9       8AAF                   8AAF                    8AAF
8FEA       E436                   E436                   216DF
8FEB       E437                   4615                    4615
8FEC       884F                   884F                    884F
8FED       8C9B                   8C9B                    8C9B
8FEE       E43A                   E43A                   27D54
8FEF       E43B                   E43B                   27D8F
8FF0       E43C                   E43C                   2F9D4
8FF1       E43D                   3725                    3725
8FF2       E43E                   E43E                   27D53
8FF3       8CD6                   8CD6                    8CD6
8FF4       E440                   E440                   27D98
8FF5       E441                   E441                   27DBD
8FF6       8D12                   8D12                    8D12
8FF7       8D03                   8D03                    8D03
8FF8       E444                   E444                   21910
8FF9       8CDB                   8CDB                    8CDB
8FFA       705C                   705C                    705C
8FFB       8D11                   8D11                    8D11
8FFC       E448                   E448                   24CC9
8FFD       E449                   3ED0                    3ED0
9040       8DA9                   8DA9                    8DA9
9041       E44C                   E44C                   28002
9042       E44D                   E44D                   21014
9043       E44E                   E44E                   2498A
9044       E44F                   3B7C                    3B7C
9045       E450                   E450                   281BC
9046       E451                   E451                   2710C
9047       7AE7                   7AE7                    7AE7
9048       8EAD                   8EAD                    8EAD
9049       8EB6                   8EB6                    8EB6
904A       8EC3                   8EC3                    8EC3
904B       92D4                   92D4                    92D4
904C       8F19                   8F19                    8F19
904D       8F2D                   8F2D                    8F2D
904E       E459                   E459                   28365
904F       E45A                   E45A                   28412
9050       8FA5                   8FA5                    8FA5
9051       9303                   9303                    9303
9052       E45D                   E45D                   2A29F
9053       E45E                   E45E                   20A50
9054       8FB3                   8FB3                    8FB3
9055       E460                   492A                    492A
9056       E461                   E461                   289DE
9057       E462                   E462                   2853D
9058       E463                   E463                   23DBB
9059       5EF8                   5EF8                    5EF8
905A       E465                   E465                   23262
905B       8FF9                   8FF9                    8FF9
905C       E467                   E467                   2A014
905D       E468                   E468                   286BC
905E       E469                   E469                   28501
905F       E46A                   E46A                   22325
9060       E46B                   3980                    3980
9061       E46C                   E46C                   26ED7
9062       9037                   9037                    9037
9063       E46E                   E46E                   2853C
9064       E46F                   E46F                   27ABE
9065       9061                   9061                    9061
9066       E471                   E471                   2856C
9067       E472                   E472                   2860B
9068       90A8                   90A8                    90A8
9069       E474                   E474                   28713
906A       90C4                   90C4                    90C4
906B       E476                   E476                   286E6
906C       90AE                   90AE                    90AE
906E       9167                   9167                    9167
906F       E47A                   3AF0                    3AF0
9070       91A9                   91A9                    91A9
9071       91C4                   91C4                    91C4
9072       7CAC                   7CAC                    7CAC
9073       E47E                   E47E                   28933
9074       E47F                   E47F                   21E89
9075       920E                   920E                    920E
9076       6C9F                   6C9F                    6C9F
9077       9241                   9241                    9241
9078       9262                   9262                    9262
9079       E484                   E484                   255B9
907B       E486                   E486                   28AC6
907C       E487                   E487                   23C9B
907D       E488                   E488                   28B0C
907E       E489                   E489                   255DB
90A1       E48A                   E48A                   20D31
90A2       932C                   932C                    932C
90A3       936B                   936B                    936B
90A4       E48D                   E48D                   28AE1
90A5       E48E                   E48E                   28BEB
90A6       708F                   708F                    708F
90A7       5AC3                   5AC3                    5AC3
90A8       E491                   E491                   28AE2
90A9       E492                   E492                   28AE5
90AA       E493                   4965                    4965
90AB       9244                   9244                    9244
90AC       E495                   E495                   28BEC
90AD       E496                   E496                   28C39
90AE       E497                   E497                   28BFF
90AF       9373                   9373                    9373
90B0       945B                   945B                    945B
90B1       8EBC                   8EBC                    8EBC
90B2       9585                   9585                    9585
90B3       95A6                   95A6                    95A6
90B4       9426                   9426                    9426
90B5       95A0                   95A0                    95A0
90B6       6FF6                   6FF6                    6FF6
90B7       E4A0                   42B9                    42B9
90B8       E4A1                   E4A1                   2267A
90B9       E4A2                   E4A2                   286D8
90BA       E4A3                   E4A3                   2127C
90BB       E4A4                   E4A4                   23E2E
90BC       E4A5                   49DF                    49DF
90BD       6C1C                   6C1C                    6C1C
90BE       967B                   967B                    967B
90BF       9696                   9696                    9696
90C0       E4A9                   416C                    416C
90C1       96A3                   96A3                    96A3
90C2       E4AB                   E4AB                   26ED5
90C3       61DA                   61DA                    61DA
90C4       96B6                   96B6                    96B6
90C5       78F5                   78F5                    78F5
90C6       E4AF                   E4AF                   28AE0
90C7       96BD                   96BD                    96BD
90C8       53CC                   53CC                    53CC
90C9       E4B2                   49A1                    49A1
90CA       E4B3                   E4B3                   26CB8
90CB       E4B4                   E4B4                   20274
90CC       E4B5                   E4B5                   26410
90CD       E4B6                   E4B6                   290AF
90CE       E4B7                   E4B7                   290E5
90CF       E4B8                   E4B8                   24AD1
90D0       E4B9                   E4B9                   21915
90D1       E4BA                   E4BA                   2330A
90D2       9731                   9731                    9731
90D3       8642                   8642                    8642
90D4       9736                   9736                    9736
90D5       E4BE                   4A0F                    4A0F
90D6       E4BF                   453D                    453D
90D7       E4C0                   4585                    4585
90D8       E4C1                   E4C1                   24AE9
90D9       7075                   7075                    7075
90DA       5B41                   5B41                    5B41
90DB       971B                   971B                    971B
90DD       E4C6                   E4C6                   291D5
90DE       9757                   9757                    9757
90DF       5B4A                   5B4A                    5B4A
90E0       E4C9                   E4C9                   291EB
90E1       975F                   975F                    975F
90E2       9425                   9425                    9425
90E3       50D0                   50D0                    50D0
90E4       E4CD                   E4CD                   230B7
90E5       E4CE                   E4CE                   230BC
90E6       9789                   9789                    9789
90E7       979F                   979F                    979F
90E8       97B1                   97B1                    97B1
90E9       97BE                   97BE                    97BE
90EA       97C0                   97C0                    97C0
90EB       97D2                   97D2                    97D2
90EC       97E0                   97E0                    97E0
90ED       E4D6                   E4D6                   2546C
90EE       97EE                   97EE                    97EE
90EF       741C                   741C                    741C
90F0       E4D9                   E4D9                   29433
90F2       97F5                   97F5                    97F5
90F3       E4DC                   E4DC                   2941D
90F4       E4DD                   E4DD                   2797A
90F5       E4DE                   4AD1                    4AD1
90F6       9834                   9834                    9834
90F7       9833                   9833                    9833
90F8       984B                   984B                    984B
90F9       9866                   9866                    9866
90FA       E4E3                   3B0E                    3B0E
90FB       E4E4                   E4E4                   27175
90FC       E4E5                   3D51                    3D51
90FD       E4E6                   E4E6                   20630
90FE       E4E7                   E4E7                   2415C
9140       E4E8                   E4E8                   25706
9141       98CA                   98CA                    98CA
9142       98B7                   98B7                    98B7
9143       98C8                   98C8                    98C8
9144       98C7                   98C7                    98C7
9145       E4ED                   4AFF                    4AFF
9146       E4EE                   E4EE                   26D27
9147       E4EF                   E4EF                   216D3
9148       55B0                   55B0                    55B0
9149       98E1                   98E1                    98E1
914A       98E6                   98E6                    98E6
914B       98EC                   98EC                    98EC
914C       9378                   9378                    9378
914D       9939                   9939                    9939
914E       E4F6                   E4F6                   24A29
914F       E4F7                   4B72                    4B72
9150       E4F8                   E4F8                   29857
9151       E4F9                   E4F9                   29905
9152       99F5                   99F5                    99F5
9153       9A0C                   9A0C                    9A0C
9154       9A3B                   9A3B                    9A3B
9155       9A10                   9A10                    9A10
9156       9A58                   9A58                    9A58
9157       E4FF                   E4FF                   25725
9158       E500                   36C4                    36C4
9159       E501                   E501                   290B1
915A       E502                   E502                   29BD5
915B       9AE0                   9AE0                    9AE0
915C       9AE2                   9AE2                    9AE2
915D       E505                   E505                   29B05
915E       9AF4                   9AF4                    9AF4
915F       E507                   4C0E                    4C0E
9160       9B14                   9B14                    9B14
9161       9B2D                   9B2D                    9B2D
9162       E50A                   E50A                   28600
9163       5034                   5034                    5034
9164       9B34                   9B34                    9B34
9165       E50D                   E50D                   269A8
9166       E50E                   38C3                    38C3
9167       E50F                   E50F                   2307D
9168       9B50                   9B50                    9B50
9169       9B40                   9B40                    9B40
916A       E512                   E512                   29D3E
916B       5A45                   5A45                    5A45
916C       E514                   E514                   21863
916D       9B8E                   9B8E                    9B8E
916E       E516                   E516                   2424B
916F       9C02                   9C02                    9C02
9170       9BFF                   9BFF                    9BFF
9171       9C0C                   9C0C                    9C0C
9172       E51A                   E51A                   29E68
9173       9DD4                   9DD4                    9DD4
9174       E51C                   E51C                   29FB7
9175       E51D                   E51D                   2A192
9176       E51E                   E51E                   2A1AB
9177       E51F                   E51F                   2A0E1
9178       E520                   E520                   2A123
9179       E521                   E521                   2A1DF
917A       9D7E                   9D7E                    9D7E
917B       9D83                   9D83                    9D83
917C       E524                   E524                   2A134
917D       9E0E                   9E0E                    9E0E
917E       6888                   6888                    6888
91A1       9DC4                   9DC4                    9DC4
91A2       E528                   E528                   2215B
91A3       E529                   E529                   2A193
91A4       E52A                   E52A                   2A220
91A5       E52B                   E52B                   2193B
91A6       E52C                   E52C                   2A233
91A7       9D39                   9D39                    9D39
91A8       E52E                   E52E                   2A0B9
91A9       E52F                   E52F                   2A2B4
91AA       9E90                   9E90                    9E90
91AB       9E95                   9E95                    9E95
91AC       9E9E                   9E9E                    9E9E
91AD       9EA2                   9EA2                    9EA2
91AE       E534                   4D34                    4D34
91AF       9EAA                   9EAA                    9EAA
91B0       9EAF                   9EAF                    9EAF
91B1       E537                   E537                   24364
91B2       9EC1                   9EC1                    9EC1
91B3       E539                   3B60                    3B60
91B4       E53A                   39E5                    39E5
91B5       E53B                   3D1D                    3D1D
91B6       4F32                   4F32                    4F32
91B7       E53D                   37BE                    37BE
91B8       E53E                   E53E                   28C2B
91B9       9F02                   9F02                    9F02
91BA       9F08                   9F08                    9F08
91BB       E541                   4B96                    4B96
91BC       9424                   9424                    9424
91BD       E543                   E543                   26DA2
91BE       9F17                   9F17                    9F17
91C0       9F39                   9F39                    9F39
91C1       569F                   569F                    569F
91C2       568A                   568A                    568A
91C3       9F45                   9F45                    9F45
91C4       99B8                   99B8                    99B8
91C5       E54B                   E54B                   2908B
91C6       97F2                   97F2                    97F2
91C7       847F                   847F                    847F
91C8       9F62                   9F62                    9F62
91C9       9F69                   9F69                    9F69
91CA       7ADC                   7ADC                    7ADC
91CB       9F8E                   9F8E                    9F8E
91CC       7216                   7216                    7216
91CD       E553                   4BBE                    4BBE
91CE       E554                   E554                   24975
91CF       E555                   E555                   249BB
91D0       7177                   7177                    7177
91D1       E557                   E557                   249F8
91D2       E558                   E558                   24348
91D3       E559                   E559                   24A51
91D4       739E                   739E                    739E
91D5       E55B                   E55B                   28BDA
91D6       E55C                   E55C                   218FA
91D7       799F                   799F                    799F
91D8       E55E                   E55E                   2897E
91D9       E55F                   E55F                   28E36
91DA       9369                   9369                    9369
91DB       93F3                   93F3                    93F3
91DC       E562                   E562                   28A44
91DD       92EC                   92EC                    92EC
91DE       9381                   9381                    9381
91DF       93CB                   93CB                    93CB
91E0       E566                   E566                   2896C
91E1       E567                   E567                   244B9
91E2       7217                   7217                    7217
91E3       E569                   3EEB                    3EEB
91E4       7772                   7772                    7772
91E5       7A43                   7A43                    7A43
91E6       70D0                   70D0                    70D0
91E7       E56D                   E56D                   24473
91E8       E56E                   E56E                   243F8
91E9       717E                   717E                    717E
91EA       E570                   E570                   217EF
91EB       70A3                   70A3                    70A3
91EC       E572                   E572                   218BE
91ED       E573                   E573                   23599
91EE       E574                   3EC7                    3EC7
91EF       E575                   E575                   21885
91F0       E576                   E576                   2542F
91F1       E577                   E577                   217F8
91F2       E578                   3722                    3722
91F3       E579                   E579                   216FB
91F4       E57A                   E57A                   21839
91F5       E57B                   36E1                    36E1
91F6       E57C                   E57C                   21774
91F7       E57D                   E57D                   218D1
91F8       E57E                   E57E                   25F4B
91F9       E57F                   3723                    3723
91FA       E580                   E580                   216C0
91FB       575B                   575B                    575B
91FC       E582                   E582                   24A25
91FD       E583                   E583                   213FE
91FE       E584                   E584                   212A8
9240       E585                   E585                   213C6
9241       E586                   E586                   214B6
9242       8503                   8503                    8503
9243       E588                   E588                   236A6
9245       8455                   8455                    8455
9246       E58B                   E58B                   24994
9247       E58C                   E58C                   27165
9248       E58D                   E58D                   23E31
9249       E58E                   E58E                   2555C
924A       E58F                   E58F                   23EFB
924B       E590                   E590                   27052
924C       E591                   44F4                    44F4
924D       E592                   E592                   236EE
924E       E593                   E593                   2999D
924F       E594                   E594                   26F26
9250       67F9                   67F9                    67F9
9251       E596                   3733                    3733
9252       E597                   3C15                    3C15
9253       E598                   3DE7                    3DE7
9254       586C                   586C                    586C
9255       E59A                   E59A                   21922
9256       6810                   6810                    6810
9257       E59C                   4057                    4057
9258       E59D                   E59D                   2373F
9259       E59E                   E59E                   240E1
925A       E59F                   E59F                   2408B
925B       E5A0                   E5A0                   2410F
925C       E5A1                   E5A1                   26C21
925D       54CB                   54CB                    54CB
925E       569E                   569E                    569E
925F       E5A4                   E5A4                   266B1
9260       5692                   5692                    5692
9261       E5A6                   E5A6                   20FDF
9262       E5A7                   E5A7                   20BA8
9263       E5A8                   E5A8                   20E0D
9264       93C6                   93C6                    93C6
9265       E5AA                   E5AA                   28B13
9266       939C                   939C                    939C
9267       4EF8                   4EF8                    4EF8
9268       512B                   512B                    512B
9269       E5AE                   3819                    3819
926A       E5AF                   E5AF                   24436
926B       4EBC                   4EBC                    4EBC
926C       E5B1                   E5B1                   20465
926D       E5B2                   E5B2                   2037F
926E       4F4B                   4F4B                    4F4B
926F       4F8A                   4F8A                    4F8A
9270       E5B5                   E5B5                   25651
9271       5A68                   5A68                    5A68
9272       E5B7                   E5B7                   201AB
9273       E5B8                   E5B8                   203CB
9274       E5B9                   3999                    3999
9275       E5BA                   E5BA                   2030A
9276       E5BB                   E5BB                   20414
9277       E5BC                   3435                    3435
9278       4F29                   4F29                    4F29
9279       E5BE                   E5BE                   202C0
927A       E5BF                   E5BF                   28EB3
927B       E5C0                   E5C0                   20275
927C       8ADA                   8ADA                    8ADA
927D       E5C2                   E5C2                   2020C
927E       4E98                   4E98                    4E98
92A1       50CD                   50CD                    50CD
92A2       510D                   510D                    510D
92A3       4FA2                   4FA2                    4FA2
92A4       4F03                   4F03                    4F03
92A5       E5C8                   E5C8                   24A0E
92A6       E5C9                   E5C9                   23E8A
92A7       4F42                   4F42                    4F42
92A8       502E                   502E                    502E
92A9       506C                   506C                    506C
92AA       5081                   5081                    5081
92AB       4FCC                   4FCC                    4FCC
92AC       4FE5                   4FE5                    4FE5
92AD       5058                   5058                    5058
92AE       50FC                   50FC                    50FC
92B3       6E76                   6E76                    6E76
92B4       E5D7                   E5D7                   23595
92B5       E5D8                   E5D8                   23E39
92B6       E5D9                   E5D9                   23EBF
92B7       6D72                   6D72                    6D72
92B8       E5DB                   E5DB                   21884
92B9       E5DC                   E5DC                   23E89
92BA       51A8                   51A8                    51A8
92BB       51C3                   51C3                    51C3
92BC       E5DF                   E5DF                   205E0
92BD       E5E0                   44DD                    44DD
92BE       E5E1                   E5E1                   204A3
92BF       E5E2                   E5E2                   20492
92C0       E5E3                   E5E3                   20491
92C1       8D7A                   8D7A                    8D7A
92C2       E5E5                   E5E5                   28A9C
92C3       E5E6                   E5E6                   2070E
92C4       5259                   5259                    5259
92C5       52A4                   52A4                    52A4
92C6       E5E9                   E5E9                   20873
92C7       52E1                   52E1                    52E1
92C9       E5EC                   467A                    467A
92CA       718C                   718C                    718C
92CB       E5EE                   E5EE                   2438C
92CC       E5EF                   E5EF                   20C20
92CD       E5F0                   E5F0                   249AC
92CE       E5F1                   E5F1                   210E4
92CF       69D1                   69D1                    69D1
92D0       E5F3                   E5F3                   20E1D
92D2       E5F5                   3EDE                    3EDE
92D3       7499                   7499                    7499
92D4       7414                   7414                    7414
92D5       7456                   7456                    7456
92D6       7398                   7398                    7398
92D7       E5FA                   4B8E                    4B8E
92D8       E5FB                   E5FB                   24ABC
92D9       E5FC                   E5FC                   2408D
92DA       53D0                   53D0                    53D0
92DB       E5FE                   3584                    3584
92DC       720F                   720F                    720F
92DD       E600                   E600                   240C9
92DE       55B4                   55B4                    55B4
92DF       E602                   E602                   20345
92E0       54CD                   54CD                    54CD
92E1       E604                   E604                   20BC6
92E2       571D                   571D                    571D
92E3       925D                   925D                    925D
92E4       96F4                   96F4                    96F4
92E5       9366                   9366                    9366
92E6       57DD                   57DD                    57DD
92E7       578D                   578D                    578D
92E8       577F                   577F                    577F
92E9       E60C                   363E                    363E
92EA       58CB                   58CB                    58CB
92EB       5A99                   5A99                    5A99
92EC       E60F                   E60F                   28A46
92ED       E610                   E610                   216FA
92EE       E611                   E611                   2176F
92EF       E612                   E612                   21710
92F0       5A2C                   5A2C                    5A2C
92F1       59B8                   59B8                    59B8
92F2       928F                   928F                    928F
92F3       5A7E                   5A7E                    5A7E
92F4       5ACF                   5ACF                    5ACF
92F5       5A12                   5A12                    5A12
92F6       E619                   E619                   25946
92F7       E61A                   E61A                   219F3
92F8       E61B                   E61B                   21861
92F9       E61C                   E61C                   24295
92FA       E61D                   36F5                    36F5
92FB       6D05                   6D05                    6D05
92FC       7443                   7443                    7443
92FD       5A21                   5A21                    5A21
92FE       E621                   E621                   25E83
9340       5A81                   5A81                    5A81
9341       E623                   E623                   28BD7
9342       E624                   E624                   20413
9343       93E0                   93E0                    93E0
9344       748C                   748C                    748C
9345       E627                   E627                   21303
9346       7105                   7105                    7105
9347       E629                   4972                    4972
9348       9408                   9408                    9408
9349       E62B                   E62B                   289FB
934A       93BD                   93BD                    93BD
934B       E62D                   37A0                    37A0
934C       5C1E                   5C1E                    5C1E
934D       5C9E                   5C9E                    5C9E
934E       5E5E                   5E5E                    5E5E
934F       5E48                   5E48                    5E48
9350       E632                   E632                   21996
9351       E633                   E633                   2197C
9352       E634                   E634                   23AEE
9353       5ECD                   5ECD                    5ECD
9354       5B4F                   5B4F                    5B4F
9355       E637                   E637                   21903
9356       E638                   E638                   21904
9357       E639                   3701                    3701
9358       E63A                   E63A                   218A0
9359       E63B                   36DD                    36DD
935A       E63C                   E63C                   216FE
935B       E63D                   36D3                    36D3
935C       812A                   812A                    812A
935D       E63F                   E63F                   28A47
935E       E640                   E640                   21DBA
935F       E641                   E641                   23472
9360       E642                   E642                   289A8
9361       5F0C                   5F0C                    5F0C
9362       5F0E                   5F0E                    5F0E
9363       E645                   E645                   21927
9364       E646                   E646                   217AB
9365       5A6B                   5A6B                    5A6B
9366       E648                   E648                   2173B
9367       5B44                   5B44                    5B44
9368       8614                   8614                    8614
9369       E64B                   E64B                   275FD
936A       8860                   8860                    8860
936B       607E                   607E                    607E
936C       E64E                   E64E                   22860
936D       E64F                   E64F                   2262B
936E       5FDB                   5FDB                    5FDB
936F       E651                   3EB8                    3EB8
9370       E652                   E652                   225AF
9371       E653                   E653                   225BE
9372       E654                   E654                   29088
9373       E655                   E655                   26F73
9374       61C0                   61C0                    61C0
9375       E657                   E657                   2003E
9376       E658                   E658                   20046
9377       E659                   E659                   2261B
9378       6199                   6199                    6199
9379       6198                   6198                    6198
937A       6075                   6075                    6075
937B       E65D                   E65D                   22C9B
937C       E65E                   E65E                   22D07
937D       E65F                   E65F                   246D4
937E       E660                   E660                   2914D
93A1       6471                   6471                    6471
93A2       E662                   E662                   24665
93A3       E663                   E663                   22B6A
93A4       E664                   3A29                    3A29
93A5       E665                   E665                   22B22
93A6       E666                   E666                   23450
93A7       E667                   E667                   298EA
93A8       E668                   E668                   22E78
93A9       6337                   6337                    6337
93AA       E66A                   E66A                   2A45B
93AB       64B6                   64B6                    64B6
93AC       6331                   6331                    6331
93AD       63D1                   63D1                    63D1
93AE       E66E                   E66E                   249E3
93AF       E66F                   E66F                   22D67
93B0       62A4                   62A4                    62A4
93B1       E671                   E671                   22CA1
93B2       643B                   643B                    643B
93B3       656B                   656B                    656B
93B4       6972                   6972                    6972
93B5       E675                   3BF4                    3BF4
93B6       E676                   E676                   2308E
93B7       E677                   E677                   232AD
93B8       E678                   E678                   24989
93B9       E679                   E679                   232AB
93BA       550D                   550D                    550D
93BB       E67B                   E67B                   232E0
93BC       E67C                   E67C                   218D9
93BD       E67D                   E67D                   2943F
93BE       66CE                   66CE                    66CE
93BF       E67F                   E67F                   23289
93C0       E680                   E680                   231B3
93C1       E681                   3AE0                    3AE0
93C2       E682                   4190                    4190
93C3       E683                   E683                   25584
93C4       E684                   E684                   28B22
93C5       E685                   E685                   2558F
93C6       E686                   E686                   216FC
93C7       E687                   E687                   2555B
93C8       E688                   E688                   25425
93C9       78EE                   78EE                    78EE
93CA       E68A                   E68A                   23103
93CB       E68B                   E68B                   2182A
93CC       E68C                   E68C                   23234
93CD       E68D                   3464                    3464
93CE       E68E                   E68E                   2320F
93CF       E68F                   E68F                   23182
93D0       E690                   E690                   242C9
93D1       668E                   668E                    668E
93D2       E692                   E692                   26D24
93D3       666B                   666B                    666B
93D4       E694                   4B93                    4B93
93D5       6630                   6630                    6630
93D6       E696                   E696                   27870
93D7       E697                   E697                   21DEB
93D8       6663                   6663                    6663
93D9       E699                   E699                   232D2
93DA       E69A                   E69A                   232E1
93DB       661E                   661E                    661E
93DC       E69C                   E69C                   25872
93DD       E69D                   38D1                    38D1
93DE       E69E                   E69E                   2383A
93DF       E69F                   E69F                   237BC
93E0       E6A0                   3B99                    3B99
93E1       E6A1                   E6A1                   237A2
93E2       E6A2                   E6A2                   233FE
93E3       74D0                   74D0                    74D0
93E4       E6A4                   3B96                    3B96
93E5       678F                   678F                    678F
93E6       E6A6                   E6A6                   2462A
93E7       68B6                   68B6                    68B6
93E8       681E                   681E                    681E
93E9       E6A9                   3BC4                    3BC4
93EA       6ABE                   6ABE                    6ABE
93EB       E6AB                   3863                    3863
93EC       E6AC                   E6AC                   237D5
93ED       E6AD                   E6AD                   24487
93EE       6A33                   6A33                    6A33
93EF       6A52                   6A52                    6A52
93F0       6AC9                   6AC9                    6AC9
93F1       6B05                   6B05                    6B05
93F2       E6B2                   E6B2                   21912
93F3       6511                   6511                    6511
93F4       6898                   6898                    6898
93F5       6A4C                   6A4C                    6A4C
93F6       E6B6                   3BD7                    3BD7
93F7       6A7A                   6A7A                    6A7A
93F8       6B57                   6B57                    6B57
93F9       E6B9                   E6B9                   23FC0
93FA       E6BA                   E6BA                   23C9A
93FB       93A0                   93A0                    93A0
93FC       92F2                   92F2                    92F2
93FD       E6BD                   E6BD                   28BEA
93FE       E6BE                   E6BE                   28ACB
9440       9289                   9289                    9289
9441       E6C0                   E6C0                   2801E
9442       E6C1                   E6C1                   289DC
9443       9467                   9467                    9467
9444       6DA5                   6DA5                    6DA5
9445       6F0B                   6F0B                    6F0B
9446       E6C5                   E6C5                   249EC
9448       E6C7                   E6C7                   23F7F
9449       E6C8                   3D8F                    3D8F
944A       6E04                   6E04                    6E04
944B       E6CA                   E6CA                   2403C
944C       5A3D                   5A3D                    5A3D
944D       6E0A                   6E0A                    6E0A
944E       5847                   5847                    5847
944F       6D24                   6D24                    6D24
9450       7842                   7842                    7842
9451       713B                   713B                    713B
9452       E6D1                   E6D1                   2431A
9453       E6D2                   E6D2                   24276
9454       70F1                   70F1                    70F1
9455       7250                   7250                    7250
9456       7287                   7287                    7287
9457       7294                   7294                    7294
9458       E6D7                   E6D7                   2478F
9459       E6D8                   E6D8                   24725
945A       5179                   5179                    5179
